,college,town,state,lat,long
0,Arizona_State, Phoenix, AZ,33.4484367,-112.0741417
1,Brigham_Young,  Provo, UT,40.2337289,-111.6587085
2,Brown,  Providence, RI,41.8239891,-71.4128343
3,Colorado,  Boulder, CO,40.0149856,-105.270545
4,Duke,  Durham, NC,35.996653,-78.9018053
5,Florida_State,  Tallahassee, FL,30.4380832,-84.2809332
6,Louisiana, Lafayette, LA,30.2043259,-92.0298813
7,Louisville, Louisville, KY,38.2542376,-85.759407
8,Michigan,  Ann Arbor, MI,42.2681569,-83.7312291
9,New_Mexico, Albuquerque, NM,35.0841034,-106.650985
10,North_Dakota,  Grand Forks, ND,47.9078244,-97.0592028
11,Notre_Dame,  Notre Dame, IN,41.704567749999995,-86.23822026017265
12,Ohio, Athens, OH,39.3289242,-82.1012479
13,Oklahoma, Norman, OK,35.2225717,-97.4394816
14,Oregon, Corvallis, OR,44.5645659,-123.2620435
15,Pitt, Pittsburgh, PA,40.4416941,-79.9900861
16,Stanford, Stanford, CA,37.426540700000004,-122.17029258409187
17,Texas_A&M, College Station, TX,30.5955289,-96.3071042
18,Wisconsin, Madison, WI ,43.074761,-89.3837613
19,Yale, New Haven, CT ,41.3082138,-72.9250518
